Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
1,483,SJP,24/5/2025,136123,FORNECEDOR,4508703835,10,112982531R,PEÇA,000698941-1,"9.000,000","0,23","1,79","14.040,00",20,21/5/2025,"R$ 1,97","R$ 1,78",0.0,"1,65","7,6",sim,0
1,483,SJP,10/4/2025,146712,FORNECEDOR,4508602155,10,132011477R,PEÇA,4969-7,"4.158,000","4,26","4,64","1.580,04",10,27/3/2025,"R$ 5,50","R$ 4,38",12.0,"1,65","7,6",NÃO,"3,25"
1,483,SJP,7/5/2025,146712,FORNECEDOR,4508657320,10,132011477R,PEÇA,5287-7,"8.316,000","4,26","4,64","3.160,08",10,27/3/2025,"R$ 5,50","R$ 4,38",12.0,"1,65","7,6",NÃO,"3,25"
1,483,SJP,27/5/2025,146712,FORNECEDOR,4508678959,10,132011477R,PEÇA,5467-7,"4.158,000","4,26","4,64","1.580,04",10,27/3/2025,"R$ 5,50","R$ 4,38",12.0,"1,65","7,6",NÃO,"3,25"
9,483,SJP,5/5/2025,106382,FORNECEDOR,4508640306,90,223200867R,PEÇA,484557-5,"200,000","16,98","19,03","410,00",120,17/4/2025,"R$ 21,26","R$ 16,97",12.0,"1,65","7,6",NÃO,"6,5"
1,483,FAS,4/4/2025,102294,FORNECEDOR,4508611928,10,224766016R,PEÇA,000207159-1,"810,000","5,27","5,99","583,20",10,4/4/2025,"R$ 6,60","R$ 5,98",0.0,"1,65","7,6",SIM,0
1,483,CRAG,4/4/2025,101912,FORNECEDOR,4508612495,10,231000711R,PEÇA,000153498-7,"80,000","214,50","218,83","346,40",20,1/4/2025,"R$ 218,83","R$ 218,83",0.0,0,0,SIM,0
1,483,CRAG,4/4/2025,101912,FORNECEDOR,4508612496,10,231000711R,PEÇA,000153516-7,"80,000","214,50","218,83","346,40",20,1/4/2025,"R$ 218,83","R$ 218,83",0.0,0,0,SIM,0
1,483,CRAG,10/4/2025,101912,FORNECEDOR,4508621585,10,231000711R,PEÇA,000154095-7,"80,000","214,50","218,83","346,40",20,8/4/2025,"R$ 218,83","R$ 218,83",0.0,0,0,SIM,0
1,483,CRAG,17/4/2025,101912,FORNECEDOR,4508635590,10,231000711R,PEÇA,000154940-7,"320,000","214,50","218,83","1.385,60",20,16/4/2025,"R$ 218,83","R$ 218,83",0.0,0,0,SIM,0
4,483,SJP,7/5/2025,103415,FORNECEDOR,4508640945,40,243229923R,PEÇA,209901-2,"360,000","4,56","4,75","68,40",220,22/4/2025,"R$ 5,23","R$ 4,74",nan,"1,65","7,6",nan,"3,25"
1,483,FAS,25/5/2025,119957,FORNECEDOR,4508700363,10,278320982R,PEÇA,206097-1,"35,000","3,38","37,79","1.204,35",50,1/4/2025,"R$ 47,99","38,32",12.0,"1,65","7,6",NÃO,0
1,483,FAS,24/4/2025,119957,FORNECEDOR,4508639056,10,278600140R,PEÇA,203883-1,"23,000","5,22","6,85","37,49",130,16/4/2025,"R$ 8,69","R$ 6,93",12.0,"1,65","7,6",NÃO,0
1,483,FAS,8/4/2025,122841,FORNECEDOR,4508617272,10,476607676R,PEÇA,530931-1,"66,000","628,93","648,39","1.284,36",70,7/4/2025,"R$ 823,35","R$ 657,52",12.0,"1,65","7,6",SIM,0
1,483,FAS,2/4/2025,108060,FORNECEDOR,4508405168,10,62010N081R,PEÇA,46885-3,"2,000","428,38","439,34","21,92",80,24/3/2025,"R$ 484,13","R$ 439,34",0.0,"1,65","7,6",nan,nan
2,483,FAS,25/5/2025,119957,FORNECEDOR,4508700363,20,279327771R,PEÇA,206097-1,"35,000","3,34","3,83","17,15",70,21/5/2025,"R$ 4,86","R$ 3,88",12.0,"1,65","7,6",SIM,nan
3,483,FAS,25/5/2025,119957,FORNECEDOR,4508700363,30,279335128R,PEÇA,206097-1,"35,000","3,33","3,94","21,35",100,21/5/2025,"R$ 5,00","R$ 3,99",12.0,"1,65","7,6",SIM,nan
4,483,SJP,8/5/2025,103415,FORNECEDOR,4508658120,40,363157867R,PEÇA,210069,"360,000","5,10","5,18","28,80",100,nan,"R$ 5,71","R$ 5,18",nan,"1,65","7,6",nan,"3,25"
1,483,FAS,24/4/2025,105066,FORNECEDOR,4508553978,10,282436833R,PEÇA,107930-3,"14,000","31,74","93,89","870,10",70,24/2/2024,"R$ 119,23","R$ 95,21",12.0,"1,65","7,6",nan,"3,25"
2,483,FAS,2/4/2025,108060,FORNECEDOR,4508405168,20,62010N831R,PEÇA,46885-3,"2,000","313,36","324,33","21,94",190,24/3/2025,"R$ 357,39","R$ 324,33",0.0,"1,65","7,6",nan,nan
2,483,FAS,24/4/2025,105066,FORNECEDOR,4508553978,20,282436956R,PEÇA,107930-3,"33,000","41,51","122,80","2.682,57",80,24/2/2024,"R$ 155,93","R$ 124,52",12.0,"1,65","7,6",nan,"3,25"
1,483,FAS,25/5/2025,120639,FORNECEDOR,4508703729,10,432007885R,PEÇA,182699-1,"960,000","47,17","48,84","1.603,20",20,22/5/2025,"R$ 62,02","R$ 49,52",12.0,"1,65","7,6",SIM,nan
1,483,FAS,3/4/2025,101517,FORNECEDOR,4508604211,10,484005466R,PEÇA,000834492-1,"320,000","297,57","327,90","9.705,60",90,27/3/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,0
