Codigo_Litigio,Item_Fatura,Status,Empresa,Centro,Grupo_Compradores,Data_Criacao,Fornecedor,Nome_Fornecedor,Documento_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preco_Contrato,Preco_Fatura,Valor_Diferenca,Montante,Item_Contrato,
2788558,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604440,70,620223601R,PEÇA,000047006-3,4,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 12,16",662313,2000
2788558,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604440,80,620226216R,PEÇA,000047006-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2788747,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508598899,80,620223601R,PEÇA,000046964-3,6,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 18,24",662313,2000
2788747,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508598899,90,620224709R,PEÇA,000046964-3,6,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 18,42",662313,2020
2788747,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508598899,100,620226216R,PEÇA,000046964-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2788748,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599229,90,620223601R,PEÇA,000046966-3,8,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 24,32",662313,2000
2788748,8,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599229,100,620224709R,PEÇA,000046966-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2788748,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599229,110,620226216R,PEÇA,000046966-3,4,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 12,28",662313,2110
2788750,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599847,50,620223601R,PEÇA,000046981-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2788750,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599847,60,620226216R,PEÇA,000046981-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2788762,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599624,80,620223601R,PEÇA,000046970-3,7,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 21,28",662313,2000
2788762,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599624,90,620224709R,PEÇA,000046970-3,3,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 9,21",662313,2020
2788762,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599624,100,620226216R,PEÇA,000046970-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2788766,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599667,60,620223601R,PEÇA,000046972-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2788766,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599667,70,620224709R,PEÇA,000046972-3,3,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 9,21",662313,2020
2788766,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508599667,80,620226216R,PEÇA,000046972-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2788947,2,NFL,483,FAS,SCO,1/4/2025,102294,FORNECEDOR,4508604760,20,679002227R,PEÇA,000207001-1,75,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 193,50",4600016932,1330
2789047,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604331,100,620223601R,PEÇA,000047005-3,7,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 21,28",662313,2000
2789047,9,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604331,110,620226216R,PEÇA,000047005-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2789184,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604743,70,620223601R,PEÇA,000047013-3,2,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 6,08",662313,2000
2789184,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604743,80,620226216R,PEÇA,000047013-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2789186,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604623,60,620223601R,PEÇA,000047010-3,5,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 15,20",662313,2000
2789186,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604623,70,620226216R,PEÇA,000047010-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2789187,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604670,60,620223601R,PEÇA,000047011-3,3,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 9,12",662313,2000
2789187,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604670,70,620226216R,PEÇA,000047011-3,2,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 6,14",662313,2110
2789188,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604757,40,620223601R,PEÇA,000047014-3,1,"R$ 199,51","R$ 202,56","R$ 3,05","R$ 3,05",662313,2000
2789188,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604757,50,620226216R,PEÇA,000047014-3,1,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 3,07",662313,2110
2789190,3,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508605054,60,620223601R,PEÇA,000047019-3,4,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 12,16",662313,2000
2789190,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508605054,70,620224709R,PEÇA,000047019-3,1,"R$ 201,93","R$ 205,00","R$ 3,07","R$ 3,07",662313,2020
2789190,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508605054,80,620226216R,PEÇA,000047019-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2789203,4,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604504,80,620223601R,PEÇA,000047008-3,6,"R$ 199,51","R$ 202,55","R$ 3,04","R$ 18,24",662313,2000
2789203,5,NFL,483,FAS,SCO,1/4/2025,108060,FORNECEDOR,4508604504,90,620226216R,PEÇA,000047008-3,3,"R$ 201,45","R$ 204,52","R$ 3,07","R$ 9,21",662313,2110
2789243,1,NFL,483,FAS,SCO,2/4/2025,108060,FORNECEDOR,4508405168,10,62010N081R,PEÇA,46885-3,2,"R$ 428,38","R$ 439,34","R$ 10,96","R$ 21,92",662376,80
2789243,2,NFL,483,FAS,SCO,2/4/2025,108060,FORNECEDOR,4508405168,20,62010N831R,PEÇA,46885-3,2,"R$ 313,36","R$ 324,33","R$ 10,97","R$ 21,94",662376,190
2789243,3,NFL,483,FAS,SCO,2/4/2025,108060,FORNECEDOR,4508405168,30,62010N847R,PEÇA,46885-3,2,"R$ 587,48","R$ 602,73","R$ 15,25","R$ 30,50",662376,200
2789243,4,NFL,483,FAS,SCO,2/4/2025,108060,FORNECEDOR,4508405168,40,620223601R,PEÇA,46885-3,1,"R$ 200,32","R$ 202,56","R$ 2,24","R$ 2,24",662313,2000
2789243,5,NFL,483,FAS,SCO,2/4/2025,108060,FORNECEDOR,4508405168,50,620224709R,PEÇA,46885-3,1,"R$ 202,77","R$ 205,00","R$ 2,23","R$ 2,23",662313,2020
2789417,2,NFL,483,FAS,SCO,2/4/2025,102294,FORNECEDOR,4508604024,20,679002227R,PEÇA,000206951-1,100,"R$ 64,25","R$ 66,83","R$ 2,58","R$ 258,00",4600016932,1330
2789429,4,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508604342,40,738217174R,PEÇA,000129123-1,48,"R$ 25,13","R$ 245,60","R$ 220,47","R$ 10.582,56",710695,40
2789603,3,NFL,483,SJP,SCO,2/4/2025,102318,FORNECEDOR,4508603760,30,620224263R,PEÇA,000240739-3,90,"R$ 159,80","R$ 168,34","R$ 8,54","R$ 768,60",662290,10
2789611,1,NFL,483,FAS,SCO,2/4/2025,110781,FORNECEDOR,4508605395,10,738206375R,PEÇA,000129153-1,48,"R$ 24,91","R$ 245,60","R$ 220,69","R$ 10.593,12",710695,10
